acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.398,-0.374,1.270,267.029,282.654,304.504
-0.754,-0.526,1.722,286.621,350.769,448.059
-1.162,-0.508,2.338,264.221,452.820,558.716
-1.482,-0.127,3.154,194.092,611.206,603.455
-1.796,-0.136,3.577,152.832,706.177,600.647
-2.189,-0.854,3.020,57.678,889.709,624.023
-1.415,-2.784,2.077,175.232,791.138,771.118
-1.246,-3.947,2.800,189.636,398.865,1100.403
-2.121,-4.000,2.523,-75.012,216.980,1247.009
-1.760,-3.572,1.232,-183.899,155.334,1246.887
-0.176,-2.821,0.542,-111.694,-50.659,799.316
-0.271,-2.901,-0.003,-18.982,-277.283,514.526
-0.856,-2.781,0.567,-24.963,-390.442,368.896
-0.855,-2.637,1.072,-44.800,-374.207,329.102
-0.789,-2.220,1.188,-71.411,-191.101,295.837
-0.563,-0.974,1.249,-92.773,-48.157,220.215
-0.004,-0.842,0.838,103.333,-69.641,0.366
-0.006,-0.771,0.899,98.267,-64.026,5.310
-0.028,-1.271,0.516,144.287,-65.979,-65.063
-0.070,-1.321,0.510,145.569,-71.716,-59.143
-0.117,-1.337,0.453,151.733,-85.876,-56.885
-0.274,-1.325,0.333,170.471,-101.074,-71.411
-0.389,-1.371,0.278,198.120,-111.328,-94.727
-0.576,-1.481,0.236,230.469,-115.723,-113.525
-0.730,-1.626,0.202,249.756,-117.554,-121.704
-0.831,-1.707,0.239,242.920,-117.432,-122.864
-0.905,-1.731,0.309,225.037,-102.844,-117.493
-0.971,-1.760,0.316,222.046,-91.309,-106.262
-0.892,-1.583,0.297,204.041,-90.149,-88.379
-0.872,-1.501,0.314,191.833,-89.111,-85.266
-0.825,-1.099,0.415,190.796,-80.933,-92.285
-0.893,-1.001,0.458,213.623,-72.266,-106.323
-0.798,-0.917,0.439,209.106,-69.153,-108.154
