acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.258,0.161,1.655,83.252,380.188,298.828
0.363,-0.357,2.385,115.540,342.468,330.444
0.087,-1.517,2.835,33.752,296.753,343.872
-0.199,-2.540,3.499,-302.429,165.466,451.599
-0.242,-3.204,3.777,-305.420,143.555,495.789
-0.061,-4.000,2.285,-329.468,-133.301,537.598
0.102,-4.000,0.752,-551.147,-434.387,392.761
0.427,-3.991,-1.536,-515.503,-622.131,98.328
-0.036,-3.999,-2.181,-426.880,-621.704,98.816
-0.604,-3.381,-1.838,-248.657,-487.183,102.295
-0.315,-2.172,-1.365,-288.452,-115.051,28.564
-0.111,-1.468,-1.295,-263.794,59.875,-13.184
0.110,-1.327,-1.390,-144.775,85.815,-23.865
0.118,-1.345,-1.070,-34.424,3.052,22.034
-0.060,-1.252,-0.249,-28.870,-62.744,67.444
-0.377,-1.038,0.630,36.438,-22.156,54.016
-0.399,-1.155,0.620,21.484,9.705,36.255
-0.370,-1.101,0.476,-0.549,19.714,22.705
-0.365,-1.063,0.315,93.201,-49.927,-6.592
-0.404,-1.067,0.449,101.318,-63.843,-11.597
-0.408,-1.040,0.478,76.416,-56.091,-20.203
-0.370,-1.096,0.361,60.547,-34.729,-36.072
-0.375,-1.161,0.216,83.252,-38.696,-28.687
-0.371,-1.113,0.161,100.891,-52.307,-17.212
-0.386,-1.120,0.193,102.600,-58.167,-13.428
-0.418,-1.129,0.190,107.788,-63.965,-4.333
-0.436,-1.106,0.126,133.362,-67.261,0.061
-0.475,-1.088,0.103,151.794,-71.838,1.465
-0.519,-1.062,0.066,139.954,-73.730,-3.235
-0.490,-1.053,-0.078,114.746,-90.942,-8.545
-0.632,-0.963,-0.023,137.390,-91.248,6.836
-0.617,-0.953,-0.248,142.395,-93.872,-15.076
-0.635,-0.982,-0.289,132.935,-104.126,-19.043
-0.663,-1.039,-0.353,123.047,-110.291,-8.423
-0.514,-0.917,-0.495,183.777,-91.797,3.906
