acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.286,-1.064,0.468,-142.212,-12.207,40.955
-0.275,-1.275,0.267,-177.795,-1.160,55.725
-0.259,-1.305,-0.117,-185.913,-25.940,75.623
-0.410,-1.130,0.239,-125.305,-87.708,63.782
-0.442,-1.156,0.371,-123.596,-64.941,58.289
-0.430,-1.090,0.442,-131.042,-29.114,54.504
-0.312,-1.052,0.354,-123.291,-5.615,49.988
-0.145,-1.191,0.370,-91.980,-69.397,49.622
-0.217,-1.342,0.329,-89.294,-71.655,92.102
-0.260,-1.401,0.091,-76.965,-73.181,108.154
-0.301,-1.581,-0.161,-37.903,-86.182,129.211
-0.366,-2.293,-0.568,-3.296,-108.704,130.554
-0.628,-2.697,-0.978,31.189,-126.953,92.773
-0.777,-2.282,-0.866,75.195,-105.103,57.922
-0.508,-1.968,-0.669,218.079,98.755,-143.433
-0.380,-1.964,-0.133,160.645,299.805,-327.332
-0.358,-1.663,0.340,-10.315,470.886,-539.551
0.059,-1.214,0.779,-146.179,522.156,-737.122
1.948,-0.884,0.440,-185.059,297.974,-795.105
2.718,-0.608,0.907,-92.468,72.937,-615.601
2.380,-0.782,2.098,-18.433,17.761,-481.567
2.122,-0.198,2.237,113.831,32.104,-201.294
1.765,0.464,1.534,155.762,54.321,-40.588
1.101,0.368,1.397,146.240,-39.734,9.644
0.472,-0.150,1.673,84.045,-53.955,22.766
0.163,-0.317,1.529,30.457,-41.260,31.738
-0.424,-0.659,0.858,-7.507,-78.308,75.989
-0.404,-0.597,0.978,-13.062,-29.846,14.404
-0.369,-0.567,0.964,-55.420,-20.569,15.320
