acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.196,-0.667,1.022,-149.780,-21.118,113.586
-0.198,-0.797,1.150,-157.898,-8.728,89.416
-0.212,-0.736,1.074,-168.030,12.756,79.163
-0.204,-0.625,1.050,-118.774,14.832,72.266
-0.143,-0.616,1.095,-54.932,9.521,66.772
-0.111,-0.710,1.223,-23.010,-8.789,58.899
-0.111,-0.699,1.359,-53.162,-4.944,53.589
-0.107,-0.577,1.397,-66.223,5.127,49.561
-0.057,-0.481,1.299,-64.026,30.945,39.551
0.099,-0.498,1.198,11.536,37.964,36.072
0.290,-0.644,1.211,60.547,21.973,45.776
0.429,-0.894,1.439,76.904,16.174,60.120
0.511,-1.078,1.515,87.341,31.494,74.036
0.587,-1.177,1.493,113.953,59.326,85.388
0.739,-1.530,1.362,173.035,84.473,94.238
0.992,-1.982,1.239,236.450,100.342,91.797
1.138,-2.190,1.259,265.442,126.038,59.021
1.328,-1.658,1.202,203.491,229.065,-114.624
0.973,-0.491,1.276,193.604,351.990,-384.033
0.292,0.213,1.300,278.992,499.084,-726.379
-0.165,-0.408,1.165,249.268,617.310,-1026.733
0.651,-1.616,0.889,-42.114,623.718,-1203.796
1.201,-1.223,0.568,-256.958,453.369,-1224.182
1.941,0.464,-0.246,52.124,254.700,-1088.684
2.994,-1.513,-0.397,535.217,66.101,-559.448
2.294,-1.482,1.649,182.983,7.507,-171.448
1.228,-0.676,1.983,-18.188,25.391,96.985
0.474,0.401,1.864,-57.739,54.993,150.940
0.089,0.989,1.523,-108.215,57.922,7.568
-0.213,0.082,1.327,-163.391,41.626,-77.698
-0.305,-0.323,1.090,-183.716,27.222,-36.438
-0.394,-0.121,1.148,-38.757,-60.364,26.245
-0.410,-0.264,1.225,-96.558,-35.400,29.785
-0.416,-0.235,1.173,-123.352,-11.047,47.729
