acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.990,0.264,1.477,85.266,370.117,201.172
0.966,-0.477,2.072,80.200,295.959,300.415
0.495,-1.074,3.161,-22.339,226.868,416.504
-0.217,-1.730,3.912,-77.393,177.063,533.325
-0.712,-3.382,4.000,-214.783,80.688,609.985
-0.508,-4.000,3.136,-525.330,-55.908,567.261
0.508,-4.000,1.032,-563.232,-289.001,487.061
0.552,-3.984,-0.751,-359.680,-605.835,437.866
-0.886,-3.906,-0.746,-167.847,-798.645,182.556
-0.912,-3.643,-0.156,-138.550,-725.952,70.557
-0.317,-3.155,0.680,-187.866,-433.899,-82.947
0.297,-2.824,0.225,-288.574,-131.348,-94.910
0.509,-1.879,-0.837,-272.522,20.081,-32.349
0.494,-1.221,-0.986,-110.962,-25.757,55.237
-0.191,-1.096,0.570,-0.305,-57.495,-3.052
-0.458,-1.051,0.340,76.477,-60.425,-10.559
-0.473,-1.131,0.389,66.895,-59.387,-2.075
-0.492,-1.059,0.432,39.734,-51.025,15.137
-0.494,-0.992,0.415,24.536,-36.682,14.709
-0.482,-1.105,0.300,35.828,-11.108,-26.978
-0.533,-1.023,0.274,50.781,-7.996,-10.071
-0.650,-1.010,0.216,142.456,-80.139,-13.550
-0.676,-1.211,0.212,149.292,-79.224,-5.249
-0.709,-1.266,0.205,142.029,-77.393,24.780
-0.604,-1.026,0.206,101.135,-75.684,47.791
-0.553,-1.010,0.062,90.942,-76.050,35.583
-0.621,-0.981,0.052,114.258,-80.688,51.880
-0.564,-1.015,-0.034,117.371,-84.412,59.509
