acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.604,-0.292,1.022,337.097,190.735,18.372
0.614,-0.265,1.110,288.879,284.363,89.416
0.615,-0.081,1.040,268.311,369.385,160.706
0.552,-0.207,1.011,314.331,430.969,233.765
0.497,-0.380,1.319,410.461,490.601,371.216
0.617,-0.449,1.530,467.895,505.066,451.965
0.762,-1.067,1.920,476.501,500.732,488.403
0.727,-1.856,2.769,367.798,464.050,615.967
0.823,-2.808,3.548,248.169,415.955,719.299
0.547,-4.000,4.000,217.957,368.164,801.331
-0.093,-4.000,3.148,77.881,194.153,1055.481
-0.539,-3.977,0.673,-160.645,-317.627,1271.423
-1.859,-3.999,-1.510,-359.131,-680.176,1168.457
-2.269,-4.000,-1.474,-420.471,-775.391,833.374
-1.680,-4.000,-1.751,-149.292,-759.643,366.455
-1.597,-3.950,-0.386,-97.412,-670.959,134.705
-1.167,-3.721,-0.269,-334.351,-424.072,115.112
-0.407,-2.700,-0.856,-455.872,-205.139,174.866
-0.086,-1.355,-1.170,-363.098,-105.591,202.209
0.240,-1.361,-0.294,9.338,-109.253,-72.205
0.143,-1.341,-0.018,-41.809,-97.961,-30.273
0.137,-1.152,0.027,-44.983,-89.539,-6.836
-0.160,-1.181,0.274,115.845,-22.217,-69.519
-0.328,-1.452,0.229,115.417,-26.306,-54.199
-0.498,-1.468,0.118,125.244,-32.349,-44.250
-0.671,-1.355,-0.036,199.524,-74.036,-44.861
-0.779,-1.480,-0.123,216.492,-109.436,-69.458
-1.006,-1.526,-0.042,203.918,-133.423,-95.215
-1.246,-1.302,0.114,207.214,-131.531,-112.671
-1.448,-1.339,0.099,227.600,-91.431,-104.370
-1.714,-1.292,-0.198,215.820,-75.500,-91.125
-1.725,-1.081,-0.220,173.950,-61.157,-39.917
-1.563,-1.056,-0.179,175.476,-74.341,-18.738
-1.337,-0.625,-0.199,150.818,-89.355,-17.456
-1.260,-0.477,-0.254,122.437,-100.708,-28.992
-1.190,-0.642,-0.409,106.628,-117.493,-37.964
-1.217,-0.512,-0.305,112.854,-122.131,-28.259
