acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.010,-1.124,0.248,-68.970,-119.812,81.909
0.020,-1.207,0.223,-80.444,-104.797,94.849
0.038,-1.185,0.064,-92.224,-104.614,99.854
0.041,-1.172,0.015,-28.198,-141.235,44.983
0.075,-1.328,0.061,-23.987,-137.390,41.870
0.135,-1.406,0.047,-45.532,-126.221,50.842
0.249,-1.387,-0.064,-1.343,-57.251,33.081
0.517,-1.530,0.045,-43.823,-38.513,44.739
0.732,-1.637,0.088,-65.308,-34.302,54.565
0.968,-1.717,-0.087,-158.264,-15.442,63.538
1.216,-1.817,-0.197,-152.039,-12.878,44.983
1.282,-1.959,0.045,-148.804,16.418,13.245
1.210,-1.908,0.534,-198.242,112.366,-37.781
1.253,-1.809,0.716,-234.741,262.756,-128.723
0.920,-1.343,0.378,-148.621,398.499,-259.644
0.266,-0.783,1.201,158.325,662.842,-936.890
0.807,-0.671,0.923,-47.791,696.533,-1087.341
1.259,0.419,0.764,-69.336,549.133,-1146.729
1.862,-0.223,-0.774,399.292,470.154,-1028.381
2.992,-1.964,-0.887,530.762,323.181,-738.769
2.466,-2.216,0.979,218.872,169.128,-374.817
1.684,-1.865,1.443,65.125,88.928,-56.519
1.020,-1.445,1.420,11.902,40.649,193.542
0.741,-0.476,1.398,-12.024,15.991,297.058
0.568,-0.400,1.034,-65.247,-23.621,229.492
-0.271,-1.034,0.846,83.130,-222.595,16.052
-0.382,-1.053,0.996,50.415,-194.580,51.086
-0.369,-0.855,0.901,9.827,-148.315,77.454
