acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.353,-0.299,1.176,-195.740,63.721,54.016
-0.428,-0.265,1.471,-194.824,64.636,46.631
-0.498,-0.304,1.579,-196.411,68.542,43.701
-0.438,-0.433,1.619,-191.772,62.439,50.232
-0.336,-0.569,1.739,-204.346,50.659,60.913
-0.245,-0.888,1.591,-192.749,34.241,107.239
-0.235,-1.117,1.417,-164.917,25.452,136.902
-0.305,-1.222,1.542,-67.200,11.292,218.262
-0.378,-1.247,1.625,-14.893,20.203,253.296
-0.339,-1.038,1.793,20.081,28.137,249.695
-0.297,-1.055,1.905,39.795,32.227,219.971
-0.177,-1.265,2.195,52.185,47.302,216.736
-0.057,-1.140,2.395,89.172,76.111,262.268
-0.083,-1.007,2.354,107.178,79.163,270.813
-0.199,-0.832,2.462,156.128,85.205,270.813
-0.248,-0.916,2.448,196.899,113.220,265.381
-0.167,-1.033,2.292,246.277,140.381,256.042
-0.095,-1.082,2.217,292.542,169.922,215.027
-0.087,-0.936,1.919,299.683,182.800,189.148
-0.180,-0.420,1.537,354.858,205.322,34.241
-0.350,0.257,1.408,383.850,210.449,-58.655
-0.577,0.465,1.390,402.283,266.724,-426.331
-0.164,-0.949,1.008,305.420,232.971,-912.659
0.372,-1.777,0.960,70.740,150.024,-899.109
0.592,-1.645,0.469,-14.160,7.446,-761.536
0.620,-1.103,0.145,123.047,-127.380,-592.896
0.539,-1.508,0.492,303.101,-169.739,-408.386
0.713,-1.349,1.034,234.619,-133.728,-219.849
