acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.633,0.091,1.252,-274.658,116.028,112.427
-0.746,-0.352,1.247,-269.592,144.531,107.788
-0.615,-0.459,1.083,-273.254,150.574,120.483
-0.630,-0.192,1.279,-291.016,145.203,104.309
-0.630,-0.426,1.358,-282.898,135.193,81.421
-0.553,-1.180,1.402,-257.751,117.676,112.549
-0.569,-1.292,1.279,-232.727,93.872,162.842
-0.648,-0.728,1.470,-230.225,75.378,142.761
-0.611,-0.803,1.716,-204.224,80.261,77.637
-0.351,-1.051,1.687,-137.146,88.379,49.866
-0.173,-1.197,1.738,-122.498,87.341,74.219
-0.124,-1.469,1.799,-108.215,86.060,96.436
-0.203,-1.454,1.782,11.108,90.759,191.040
-0.312,-1.234,1.810,79.651,91.797,212.036
-0.311,-1.293,2.201,267.639,93.384,224.854
-0.327,-1.654,2.659,308.289,105.591,220.947
-0.365,-1.763,2.689,330.139,93.201,196.228
-0.432,-1.840,2.493,379.822,38.635,120.789
-0.644,-1.634,2.436,413.879,-8.667,-20.996
-0.740,-1.253,2.624,387.268,3.845,-214.416
-0.699,-0.546,1.418,328.613,22.766,-408.936
1.064,-2.875,0.053,913.879,158.813,-668.518
1.274,-1.657,-0.312,-58.838,-103.760,-379.028
1.345,-1.387,-0.929,-4.883,-255.981,-236.633
0.567,-1.549,0.452,301.819,-416.565,16.724
0.123,-1.220,1.840,210.754,-322.571,104.736
0.036,-0.806,1.745,49.622,-134.827,103.455
