acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.564,-0.818,1.028,-125.244,50.842,83.923
-0.551,-0.756,1.186,-132.812,37.903,93.811
-0.666,-0.516,1.332,-148.193,39.917,86.853
-0.759,-0.354,1.376,-169.006,50.537,26.123
-0.689,-0.303,1.308,-163.330,44.861,-17.395
-0.466,-0.369,1.176,-165.100,22.888,-48.340
-0.425,-0.415,1.144,-162.842,14.648,-43.945
-0.348,-0.467,1.108,-145.142,-0.305,-18.250
-0.293,-0.564,1.179,-116.516,-13.489,19.470
-0.294,-0.656,1.300,-90.698,-17.395,61.829
-0.237,-0.620,1.378,-69.519,6.287,111.755
-0.269,-0.527,1.497,-56.885,25.452,123.535
-0.222,-0.253,1.419,-34.668,23.254,107.544
-0.067,-0.365,1.550,-19.958,4.272,83.740
-0.081,-0.753,1.822,-18.799,4.272,90.088
-0.163,-0.933,1.919,109.680,15.076,137.573
-0.241,-1.426,2.415,226.929,23.071,173.279
-0.264,-2.099,2.817,249.573,29.114,189.697
-0.329,-1.965,2.424,281.555,8.911,167.053
-0.543,-1.703,2.357,377.624,-4.517,69.153
-0.768,-1.736,2.595,472.900,37.659,-33.020
-0.834,-1.649,2.278,575.623,82.336,-128.418
-0.836,-1.034,2.071,644.958,102.600,-272.156
-0.882,-0.553,2.366,606.445,163.879,-485.596
-0.554,-0.510,1.712,551.514,208.130,-634.033
1.527,-1.303,1.110,578.918,63.232,-539.612
1.794,-1.155,1.203,398.560,5.920,-480.286
1.780,-1.160,1.162,49.255,-171.082,-183.960
1.397,-0.748,1.219,89.966,-215.149,38.147
0.915,-0.296,1.406,158.875,-177.307,139.282
0.603,-0.021,1.419,80.200,-90.210,132.996
0.299,0.237,1.498,-48.828,31.372,61.096
