acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.500,-1.174,0.497,-142.090,52.307,200.867
-0.529,-1.342,0.504,-136.292,43.762,198.730
-0.578,-1.097,0.613,-127.625,35.095,174.377
-0.609,-0.865,1.138,-108.887,48.035,103.943
-0.522,-1.469,1.110,-66.284,60.181,49.377
-0.339,-1.456,1.073,-76.721,30.457,41.199
-0.288,-1.102,1.095,-126.770,10.071,19.409
-0.387,-0.829,1.035,-127.380,0.183,-7.080
-0.384,-0.688,1.045,-62.927,1.160,-20.386
-0.268,-0.783,1.221,-15.076,11.841,-12.817
-0.098,-0.883,1.289,-37.354,18.677,14.526
-0.038,-0.765,1.100,-77.942,8.179,46.509
-0.055,-0.474,1.258,-38.208,8.606,31.433
-0.112,-0.523,1.208,-21.484,12.512,38.696
-0.061,-0.631,1.255,-31.738,29.175,54.138
-0.026,-0.694,1.193,-38.757,32.471,67.627
0.068,-0.853,1.198,-29.480,24.902,79.163
0.197,-1.738,1.254,-2.808,11.169,111.572
0.173,-2.063,1.336,31.311,-6.958,167.419
0.083,-2.633,1.537,53.772,-15.808,215.637
-0.016,-3.133,1.449,99.121,-23.071,244.873
-0.144,-3.353,1.375,187.744,-33.752,241.028
-0.333,-2.101,1.750,244.568,35.156,26.489
-0.405,-1.020,1.613,233.826,82.214,-123.657
-0.431,-0.473,1.194,242.310,154.968,-656.006
-0.436,-0.638,1.152,239.685,140.625,-805.115
0.123,-1.167,1.372,26.672,29.419,-1043.640
0.756,-0.888,0.778,-99.976,-97.717,-1047.791
1.059,-2.087,0.665,472.290,-95.276,-672.668
2.311,-1.598,1.489,35.522,-52.856,-238.464
1.781,0.220,0.760,-41.565,-84.229,-161.011
0.983,-0.069,1.156,213.867,-155.701,-27.222
0.492,-0.445,1.838,119.873,-117.859,51.270
