acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.538,-0.410,1.048,-56.274,73.669,255.859
0.787,-0.660,1.095,-18.066,50.110,248.718
0.852,-0.917,1.275,-21.057,26.123,263.367
0.793,-0.892,1.402,-27.100,20.935,279.358
0.734,-0.666,1.334,-12.207,25.513,261.658
0.691,-0.610,1.383,-3.662,31.616,204.224
0.737,-0.649,1.466,-17.395,39.490,142.822
0.896,-0.613,1.666,-39.734,51.270,106.812
0.990,-0.442,1.638,-17.883,73.059,99.731
1.143,-0.209,1.552,12.878,77.576,100.769
1.269,-0.234,1.630,90.942,83.740,89.233
1.375,-0.349,1.688,141.724,88.623,32.776
1.416,-0.464,1.429,121.399,88.562,-1.953
1.480,-0.354,0.933,53.955,28.564,-191.589
1.394,-0.425,0.713,24.292,-74.890,-419.739
0.945,-0.318,1.183,-136.902,-152.649,-711.426
0.311,-0.021,1.283,-289.795,-197.449,-1017.822
-0.521,-0.941,1.113,-439.148,-279.724,-1544.617
-0.743,-2.110,1.017,-431.213,-240.479,-1570.312
-0.130,-3.549,-0.269,-63.538,-44.189,-1346.680
0.967,-2.925,-0.822,-15.198,-12.512,-1218.140
1.625,-1.875,-0.198,35.522,40.955,-866.699
1.900,-1.985,0.464,82.275,151.062,-598.694
1.676,-1.410,0.759,41.016,273.193,-330.566
1.374,-0.496,0.233,5.310,319.275,-144.226
0.807,-0.165,1.212,53.833,58.655,-0.977
0.764,-0.074,1.315,22.888,34.912,25.452
0.705,0.091,1.176,4.700,10.315,30.518
0.612,0.061,1.134,2.869,-0.549,29.358
0.540,-0.051,1.122,-7.935,-18.433,37.415
