acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.054,0.083,0.762,-14.343,33.875,279.236
1.090,-0.027,0.701,-41.504,21.118,220.276
0.975,0.049,0.722,-86.365,-12.024,161.804
0.878,0.221,0.914,-82.764,-7.385,117.981
0.813,0.336,1.157,-52.551,23.132,72.388
0.818,0.410,1.224,-20.447,55.725,37.048
0.879,0.462,1.112,-1.892,67.017,14.526
0.929,0.430,1.019,-4.272,57.922,4.883
0.946,0.443,1.009,-18.616,45.166,1.526
0.956,0.439,1.007,-17.334,39.734,-9.827
0.908,0.389,1.042,-4.150,46.265,-31.921
0.959,0.232,0.994,10.376,58.472,-66.895
1.154,-0.033,0.698,3.662,51.758,-120.361
-0.624,0.352,1.060,-263.489,-238.403,-1357.361
-1.131,-0.068,1.224,-405.762,-274.170,-1569.214
-1.851,-0.808,2.009,-393.921,-182.983,-1690.796
-2.020,-3.326,1.752,-58.105,122.131,-1547.119
-0.144,-4.000,0.286,86.060,370.178,-1208.435
0.980,-1.866,-0.218,-151.611,369.202,-992.676
1.241,-0.854,-0.309,-138.062,274.170,-822.082
1.603,-1.152,0.201,48.767,238.281,-533.813
1.494,-0.907,1.221,31.860,279.480,-242.187
1.013,-0.455,1.140,-41.992,306.885,-26.062
1.000,0.445,0.567,-22.034,93.933,55.115
0.789,-0.176,0.999,-31.128,-21.484,20.386
0.643,-0.222,1.109,-28.748,-82.397,59.631
0.565,-0.033,1.083,-30.151,-86.487,70.312
