acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.931,-0.743,0.990,-52.002,3.113,216.553
0.920,-0.880,1.110,-102.600,32.288,199.097
0.944,-0.785,0.925,-122.803,54.260,182.373
0.969,-0.630,0.639,-106.140,45.166,155.640
0.935,-0.501,0.635,-67.749,22.034,119.934
0.851,-0.414,1.120,-26.733,16.907,76.782
0.851,-0.448,1.305,14.099,42.480,35.889
0.908,-0.454,1.227,20.020,82.153,-19.226
0.993,-0.406,1.063,5.249,77.637,-59.631
1.058,-0.393,1.011,1.038,55.908,-101.746
1.150,-0.514,1.151,-3.784,35.767,-146.301
1.288,-0.751,1.143,-85.693,14.587,-220.276
1.420,-0.616,0.969,-210.388,-19.287,-301.514
1.300,-0.015,0.384,-265.320,-112.671,-456.421
-0.018,0.730,1.208,-244.202,-278.381,-909.607
-0.479,0.703,1.336,-275.879,-231.201,-1165.955
-0.774,-0.384,1.184,-214.294,-53.467,-1540.832
-0.544,-2.384,0.039,-85.083,42.725,-1627.319
-0.524,-3.253,-0.211,-24.353,86.548,-1506.348
0.028,-2.163,0.516,55.603,176.697,-1173.767
0.916,-3.177,1.017,133.972,327.209,-627.441
2.451,-0.524,-0.388,27.588,348.938,-120.178
1.999,1.071,-0.616,28.198,168.945,72.571
0.907,0.619,1.111,59.204,-20.508,81.543
0.156,-0.052,1.704,14.282,-60.730,71.045
-0.055,-0.048,1.581,-35.950,-27.710,85.999
-0.006,0.171,1.496,-48.950,7.385,76.355
0.144,0.105,1.249,-64.941,36.377,8.057
