acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.659,-0.716,0.881,16.052,-116.394,267.822
0.789,-0.703,1.299,-0.732,-99.548,229.858
0.997,-0.663,1.423,-31.067,-59.265,186.584
1.235,-0.710,1.395,-59.326,-23.743,146.545
1.545,-0.879,1.385,-88.623,-2.747,120.178
1.783,-1.094,1.328,-108.093,3.235,113.220
1.878,-1.267,1.197,-106.323,-3.235,116.882
1.911,-1.324,1.074,-105.164,-16.235,101.074
1.541,-0.681,0.822,-86.731,-29.602,32.104
1.399,-0.054,0.718,-53.223,-52.490,-154.846
-0.039,1.279,1.339,-38.269,-21.667,-746.460
-1.477,1.192,1.174,-29.968,6.042,-983.887
-2.548,0.411,1.272,-111.938,10.254,-1660.339
-2.264,-1.330,2.026,-246.765,-0.488,-1840.759
-2.275,-2.834,1.927,-452.698,-49.561,-1993.713
-2.464,-3.533,-0.563,180.237,32.837,-1731.384
0.423,-3.844,-0.955,558.167,139.160,-1221.130
1.451,-3.042,0.502,278.015,198.914,-690.796
2.415,-1.779,1.397,10.193,256.165,-326.233
2.788,-1.263,0.067,-43.518,204.529,-45.410
1.544,-0.466,0.364,23.071,68.848,144.104
0.491,-0.320,1.151,16.846,-35.828,234.436
-0.147,0.365,1.142,-37.964,-65.796,90.271
-0.211,0.123,1.274,-39.124,-49.683,15.930
-0.147,-0.045,1.299,-38.391,-12.695,-13.000
-0.028,-0.142,1.286,-46.326,26.733,-14.343
