acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.294,-0.264,0.261,222.656,187.500,83.374
1.520,-0.232,0.831,230.652,257.874,154.480
1.759,-0.534,1.322,230.286,351.746,239.990
2.068,-1.220,1.374,188.660,431.946,392.456
2.327,-2.488,0.726,208.435,422.302,797.790
1.841,-3.256,0.457,235.718,377.258,951.111
0.499,-4.000,0.457,178.345,177.429,1317.078
-1.101,-4.000,1.044,128.052,48.157,1520.203
-1.899,-3.448,2.249,100.098,15.686,1380.920
0.596,-4.000,0.899,310.547,-186.279,62.744
-0.479,-4.000,1.890,-84.351,-23.132,5.920
-0.428,-2.876,1.347,-308.044,194.702,26.550
-0.182,-1.692,0.102,-336.060,278.442,-16.724
0.211,-1.278,-0.643,-230.347,211.487,-52.429
0.589,-1.097,-0.769,-70.740,72.876,-63.110
0.530,-1.152,-0.252,29.175,-38.269,-56.763
0.334,-1.139,0.325,50.537,-72.998,-46.936
0.415,-1.169,0.243,16.602,-67.139,-69.824
0.366,-1.258,0.310,13.916,-71.350,-67.383
0.339,-1.244,0.364,8.179,-71.960,-65.613
0.276,-1.196,0.412,8.606,-65.247,-73.303
0.167,-1.138,0.415,9.827,-61.035,-91.125
0.144,-1.233,0.429,10.742,-57.129,-114.319
0.114,-1.557,0.427,-2.258,-51.575,-128.418
0.009,-1.793,0.567,-26.245,-46.936,-113.525
-0.039,-1.641,0.653,-34.363,-38.330,-105.286
-0.028,-1.343,0.589,-15.625,-39.734,-123.840
-0.034,-1.336,0.503,-2.563,-59.265,-156.860
-0.065,-1.442,0.514,-4.395,-89.233,-186.462
-0.087,-1.523,0.686,-4.456,-115.112,-207.153
-0.122,-1.590,0.842,14.099,-136.108,-216.614
-0.183,-1.735,0.788,14.954,-161.133,-210.327
-0.178,-1.441,0.640,-12.512,-190.430,-202.820
-0.270,-0.927,0.852,1.221,-210.205,-228.455
