acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.972,-0.234,1.031,239.685,493.103,-155.457
1.700,-1.154,1.282,319.885,518.616,101.685
1.837,-3.015,1.304,279.480,412.476,666.138
-0.136,-3.924,-0.029,178.711,137.207,1399.353
-3.583,-4.000,0.041,134.033,-132.446,1958.923
-2.750,-3.061,0.921,-114.136,-57.678,1880.859
0.130,-0.515,1.887,-316.956,219.482,818.359
1.955,-1.966,-0.432,-32.166,101.196,-175.903
-0.140,-4.000,0.515,236.633,-135.254,-186.523
-0.955,-3.468,2.086,-237.305,-29.541,34.485
-0.574,-1.328,1.190,-321.411,190.124,59.265
0.237,-1.151,0.520,1.038,-8.667,-12.695
0.253,-1.157,0.568,-5.127,-29.419,-16.785
0.281,-1.058,0.609,-9.216,-36.316,-25.330
0.299,-0.999,0.656,0.122,-44.250,-70.435
0.304,-1.049,0.638,12.939,-45.166,-85.754
0.258,-1.142,0.599,44.739,-56.885,-110.352
0.194,-1.254,0.607,45.654,-71.533,-106.689
0.146,-1.239,0.638,45.654,-86.792,-99.976
0.176,-1.174,0.629,63.660,-103.271,-104.919
0.139,-1.260,0.750,73.730,-112.854,-114.868
0.055,-1.367,0.913,54.138,-103.455,-116.394
0.052,-1.260,0.861,39.429,-91.064,-117.554
0.066,-1.074,0.721,61.401,-96.252,-133.179
-0.023,-1.172,0.725,90.942,-114.807,-159.607
-0.057,-1.263,0.829,80.627,-128.357,-183.105
-0.037,-1.242,0.745,66.650,-155.762,-203.308
-0.125,-1.196,0.751,64.941,-183.228,-201.233
-0.234,-1.049,0.799,69.580,-198.242,-190.308
