acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.251,-0.284,0.200,156.982,129.089,-79.529
1.516,-0.872,0.109,153.076,121.948,-21.973
1.632,-1.685,0.006,260.193,41.382,282.410
1.313,-2.616,0.562,271.545,6.775,428.894
0.311,-3.553,1.146,187.378,-18.738,967.468
-0.984,-3.576,1.446,138.367,45.410,1345.825
-2.234,-3.918,0.854,17.517,166.748,1645.996
-3.310,-4.000,-0.582,-62.866,175.110,1915.771
-1.009,-1.123,-0.161,-227.966,64.941,1465.637
2.134,1.050,1.126,-173.767,15.076,239.929
0.781,-4.000,-0.949,771.728,-116.516,-316.833
-0.694,-4.000,1.403,417.480,-229.675,-156.189
-0.293,-2.468,1.909,-308.472,65.247,146.606
-0.432,-1.317,0.915,-153.381,263.733,184.570
0.502,-0.747,-0.809,-53.467,34.912,80.505
0.408,-1.272,0.195,113.098,-144.470,31.311
0.297,-1.458,0.627,92.468,-148.560,17.578
0.276,-1.460,0.716,27.527,-102.478,-1.648
0.246,-1.390,0.559,-51.392,-2.991,-19.836
0.245,-1.351,0.318,-66.223,17.517,-21.423
0.325,-1.253,0.223,-80.383,31.982,-24.719
0.420,-1.127,0.266,-42.358,20.996,-60.303
0.470,-1.163,0.316,-10.254,14.221,-80.811
0.477,-1.356,0.350,46.021,-18.372,-132.690
0.451,-1.474,0.403,40.222,-32.166,-140.869
0.437,-1.471,0.468,14.587,-69.580,-140.198
0.402,-1.372,0.566,18.250,-83.313,-137.695
0.378,-1.347,0.681,27.161,-85.937,-146.057
0.433,-1.321,0.654,49.622,-89.966,-167.236
0.427,-1.263,0.532,93.933,-113.953,-196.472
0.291,-1.380,0.545,102.417,-145.447,-214.661
0.159,-1.260,0.569,77.698,-166.504,-221.069
0.056,-1.096,0.529,72.571,-180.420,-225.830
