acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.003,-1.161,0.355,-38.147,136.108,117.065
0.017,-1.251,0.447,-41.138,142.517,110.474
0.012,-1.360,0.507,-45.105,159.729,120.666
-0.004,-1.446,0.458,-51.941,174.011,140.137
-0.006,-1.373,0.308,-58.044,167.847,150.269
0.012,-1.228,0.186,-56.763,143.066,135.193
0.009,-1.261,0.172,-42.969,115.845,112.488
-0.028,-1.350,0.291,-21.606,103.455,104.370
-0.036,-1.377,0.349,-19.470,106.323,101.807
-0.062,-1.427,0.282,-36.621,109.863,100.159
-0.137,-1.259,0.059,-46.387,104.736,96.985
-0.238,-1.352,0.046,-4.517,62.866,56.763
-0.290,-1.526,0.035,4.089,39.368,53.162
-0.373,-1.581,-0.048,-13.977,24.902,54.443
-0.444,-1.428,-0.146,-0.671,3.906,38.879
-0.466,-1.431,-0.161,41.565,-22.339,2.502
-0.527,-1.940,-0.043,73.242,-44.800,-22.156
-0.582,-1.932,0.176,67.444,-48.157,-44.861
-0.608,-1.777,0.333,88.806,-33.203,-84.106
-0.540,-1.938,0.303,126.099,-36.133,-132.874
-0.465,-2.227,0.402,123.474,-56.580,-173.889
-0.412,-2.404,0.741,104.797,-65.918,-196.960
-0.249,-2.359,1.002,108.643,-68.726,-208.984
-0.130,-2.375,1.138,118.652,-85.754,-235.168
-0.011,-2.635,1.427,84.045,-106.201,-281.006
0.198,-2.830,1.521,32.593,-112.793,-284.607
0.391,-2.553,1.391,5.493,-139.526,-289.246
0.419,-2.246,1.285,18.982,-175.842,-310.852
0.446,-2.158,1.216,46.814,-206.299,-334.412
0.641,-2.159,1.031,62.744,-231.018,-340.271
0.862,-1.869,0.877,57.068,-250.977,-315.430
1.131,-1.358,0.659,54.932,-249.878,-304.871
1.340,-1.040,0.407,43.945,-238.037,-264.343
1.481,-0.731,0.186,32.166,-228.638,-222.839
1.528,-0.334,-0.055,29.785,-217.163,-185.486
1.658,-0.274,-0.333,38.818,-210.693,-156.921
1.606,-0.350,-0.402,51.270,-194.397,-124.512
1.430,-0.255,-0.336,55.603,-152.222,-93.140
1.201,-0.265,-0.472,28.931,-93.018,-69.824
0.984,-0.324,-0.682,-33.142,-10.803,-22.217
0.799,-0.239,-0.920,-51.086,11.230,-11.169
0.677,-0.180,-1.235,-66.895,40.527,-8.606
0.575,-0.256,-1.293,-36.560,36.255,-5.066
0.522,-0.395,-1.192,-10.620,33.630,5.798
0.451,-0.533,-0.981,-19.226,41.443,19.226
