acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.459,-1.273,0.409,-39.734,147.583,134.399
-0.451,-1.275,0.354,-45.532,145.691,138.367
-0.375,-1.154,0.244,-40.833,129.761,138.184
-0.359,-1.218,0.380,-12.939,104.431,126.404
-0.349,-1.351,0.499,-14.221,104.065,126.160
-0.358,-1.362,0.434,-46.692,113.098,134.277
-0.349,-1.242,0.319,-57.922,109.558,134.460
-0.310,-1.174,0.287,-56.396,101.624,123.718
-0.276,-1.260,0.260,-47.729,93.262,115.906
-0.221,-1.398,0.225,-45.471,84.839,119.202
-0.192,-1.347,0.234,-50.720,81.055,123.840
-0.187,-1.181,0.268,-60.059,85.937,114.624
-0.118,-1.215,0.096,-48.584,95.886,80.261
-0.032,-1.319,0.037,-38.757,80.994,81.848
-0.050,-1.264,0.111,-46.753,68.604,91.431
-0.050,-1.200,0.091,-49.194,71.106,90.881
-0.078,-1.226,0.002,-13.367,62.317,69.031
-0.091,-1.259,-0.020,-13.489,66.711,64.697
-0.088,-1.380,-0.187,-1.160,54.016,58.533
-0.143,-1.550,-0.251,25.879,20.447,54.382
-0.276,-1.715,-0.137,45.410,-13.306,48.340
-0.471,-1.903,-0.042,50.903,-34.180,41.077
-0.655,-1.977,0.058,74.463,-48.279,24.231
-0.785,-2.109,0.299,125.366,-65.430,-41.870
-0.854,-2.349,0.478,134.399,-68.726,-68.787
-0.831,-2.450,0.644,140.808,-72.205,-153.564
-0.714,-2.511,0.831,156.677,-76.599,-209.290
-0.542,-2.671,1.018,156.921,-85.937,-251.709
-0.344,-2.735,1.151,131.531,-97.168,-282.959
0.008,-2.722,1.339,116.394,-124.329,-313.599
0.188,-2.725,1.516,114.563,-134.644,-318.054
0.376,-2.607,1.598,101.990,-153.931,-323.120
0.583,-2.369,1.549,82.092,-188.477,-346.802
0.750,-2.222,1.490,69.702,-209.229,-366.577
0.938,-2.148,1.417,57.617,-216.980,-361.816
1.124,-1.906,1.252,44.922,-214.966,-337.830
1.290,-1.253,0.975,17.639,-211.243,-300.964
1.369,-0.902,0.692,5.493,-207.886,-284.241
1.495,-0.544,-0.094,-18.250,-232.239,-219.360
1.672,-0.512,-0.654,36.987,-268.250,-174.805
1.880,-0.684,-0.486,100.586,-252.686,-140.442
1.785,-0.485,-0.151,70.496,-167.236,-127.563
1.561,-0.232,-0.376,-25.330,-54.321,-123.413
1.428,-0.297,-0.949,-105.164,28.381,-96.436
1.209,-0.257,-1.414,-131.287,47.180,-39.124
0.945,-0.176,-1.526,-98.572,27.161,-20.264
0.752,-0.156,-1.453,-79.407,19.470,-15.503
0.594,-0.285,-1.328,-49.500,16.541,4.456
0.451,-0.497,-1.116,-49.316,31.982,31.616
0.353,-0.505,-1.243,-53.467,35.828,55.115
0.255,-0.398,-1.341,-47.913,14.954,58.167
0.180,-0.400,-1.214,-34.302,4.578,52.002
