acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.303,-0.774,0.966,-26.611,203.064,40.161
-0.259,-0.676,0.982,-26.917,206.421,39.856
-0.258,-0.687,0.960,-14.709,209.412,35.095
-0.222,-0.766,0.921,3.967,192.322,36.133
-0.148,-0.805,0.925,10.132,170.166,39.673
-0.099,-0.843,1.023,17.395,146.057,40.955
-0.087,-0.890,1.036,22.766,139.771,42.847
-0.068,-0.906,1.013,26.917,136.169,43.945
-0.025,-0.968,0.981,30.884,127.197,46.570
-0.043,-0.939,0.984,10.010,119.568,49.255
-0.059,-0.915,0.906,-0.549,114.258,46.753
-0.059,-0.928,0.795,1.038,108.093,44.617
-0.076,-0.950,0.764,22.095,81.482,43.396
-0.094,-0.976,0.782,32.898,72.632,43.762
-0.110,-1.092,0.869,58.228,51.025,40.588
-0.138,-1.250,0.941,49.744,38.391,41.138
-0.214,-1.313,0.978,26.794,25.269,43.457
-0.227,-1.286,0.965,21.362,9.521,36.743
-0.253,-1.372,0.914,45.654,-15.808,23.315
-0.304,-1.598,0.890,65.125,-53.650,15.564
-0.432,-1.631,1.100,57.129,-88.379,6.348
-0.512,-1.601,1.198,49.988,-104.675,-15.747
-0.528,-1.646,1.186,81.177,-127.502,-60.974
-0.565,-1.717,1.276,94.788,-139.709,-73.486
-0.612,-1.688,1.425,105.652,-172.974,-105.835
-0.645,-1.540,1.467,101.868,-197.021,-131.775
-0.653,-1.581,1.566,107.239,-224.792,-157.166
-0.665,-1.743,1.807,116.333,-239.441,-172.729
-0.667,-1.777,1.927,115.234,-242.798,-188.293
-0.535,-1.761,1.873,98.450,-252.197,-214.111
-0.175,-1.737,1.816,67.932,-270.752,-240.540
0.121,-1.651,1.748,41.565,-292.847,-258.789
0.493,-1.422,1.453,42.297,-300.171,-257.202
0.856,-1.110,1.198,56.946,-320.496,-241.150
1.171,-0.883,1.032,51.086,-312.195,-219.238
1.569,-0.704,0.774,28.564,-287.109,-192.078
1.846,-0.538,0.305,-4.089,-262.207,-161.194
1.812,-0.348,-0.092,-15.076,-240.173,-118.835
1.636,-0.269,-0.426,0.549,-219.910,-71.472
1.429,-0.264,-0.673,26.001,-203.735,-35.461
1.114,-0.310,-0.681,47.607,-178.345,-14.648
0.727,-0.317,-0.927,-39.551,-38.757,11.230
0.531,-0.537,-1.151,-57.495,-12.085,31.921
0.435,-0.634,-1.275,-58.350,-7.629,42.358
0.220,-0.610,-1.470,-15.991,-22.034,51.086
0.089,-0.669,-1.179,-10.681,-22.949,46.204
0.082,-0.729,-1.041,-59.692,96.436,7.629
0.115,-0.741,-0.995,-42.969,70.740,18.738
