acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.112,-1.219,0.258,-46.326,140.259,147.400
-0.184,-1.318,0.316,-47.546,167.480,167.053
-0.311,-1.390,0.250,-51.086,184.143,188.171
-0.282,-1.306,0.159,-49.194,175.415,190.491
-0.188,-1.251,0.198,-40.649,156.372,171.997
-0.183,-1.375,0.375,-36.926,149.780,156.250
-0.223,-1.484,0.508,-50.110,160.706,156.067
-0.209,-1.445,0.526,-66.467,186.768,160.645
-0.174,-1.405,0.462,-54.687,195.312,161.194
-0.129,-1.346,0.407,-49.377,194.397,158.630
-0.121,-1.375,0.438,-51.575,183.533,146.667
-0.167,-1.378,0.465,-56.885,179.565,147.522
-0.214,-1.316,0.379,-56.763,169.312,146.057
-0.179,-1.211,0.258,-45.593,143.555,133.728
-0.177,-1.263,0.303,-30.151,115.173,120.972
-0.209,-1.383,0.400,-20.630,101.257,114.807
-0.296,-1.449,0.412,-31.189,96.924,111.633
-0.331,-1.317,0.291,-47.241,87.708,99.915
-0.352,-1.276,0.215,-33.875,51.636,57.922
-0.361,-1.458,0.177,-8.850,19.531,36.316
-0.349,-1.653,0.112,20.630,-21.973,26.489
-0.373,-1.798,0.178,34.729,-62.195,15.442
-0.452,-1.892,0.333,30.579,-84.106,-7.874
-0.503,-1.932,0.353,37.781,-95.337,-41.260
-0.506,-2.003,0.361,58.655,-108.948,-75.745
-0.538,-2.127,0.519,76.477,-121.399,-106.506
-0.523,-2.166,0.549,116.577,-145.569,-159.729
-0.529,-2.291,0.718,125.977,-159.973,-197.876
-0.534,-2.474,1.102,107.727,-148.132,-226.013
-0.421,-2.568,1.271,80.078,-125.488,-246.765
-0.245,-2.526,1.199,60.730,-127.502,-272.278
-0.063,-2.376,1.245,50.598,-148.071,-304.138
0.073,-2.329,1.317,60.303,-162.659,-332.275
0.282,-2.336,1.313,79.590,-172.119,-344.360
0.512,-2.315,1.267,73.425,-175.476,-338.135
0.784,-2.054,1.071,42.847,-189.087,-313.782
1.056,-1.731,0.887,31.921,-230.103,-280.273
1.207,-1.346,0.777,37.842,-240.601,-268.921
1.353,-0.922,0.652,35.461,-246.094,-226.013
1.552,-0.701,0.371,23.926,-239.868,-209.351
1.552,-0.453,-0.089,-10.315,-220.154,-149.780
1.440,-0.424,-0.497,9.705,-216.431,-104.614
1.308,-0.516,-0.591,48.889,-202.026,-61.707
1.148,-0.371,-0.385,65.247,-152.161,-44.312
0.804,-0.434,-0.936,-124.451,71.838,-32.898
0.721,-0.444,-1.406,-127.991,74.707,-13.245
0.639,-0.307,-1.604,-79.773,43.640,15.747
0.443,-0.318,-1.401,-8.850,-2.686,17.639
0.315,-0.457,-1.076,40.100,-18.250,11.963
0.275,-0.708,-0.932,-9.277,18.799,39.673
0.233,-0.707,-0.974,-28.687,19.897,55.298
