acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.214,-1.317,0.258,-2.319,93.262,157.532
-0.277,-1.394,0.325,11.841,95.520,171.570
-0.268,-1.360,0.337,-11.108,105.835,179.871
-0.241,-1.314,0.307,-48.340,124.146,163.635
-0.190,-1.285,0.269,-42.297,130.371,145.325
-0.142,-1.369,0.272,-34.241,130.554,138.000
-0.135,-1.513,0.282,-35.522,125.671,141.968
-0.127,-1.487,0.230,-47.424,117.737,156.189
-0.087,-1.328,0.146,-39.368,100.098,151.367
-0.069,-1.263,0.149,-20.203,78.064,130.188
-0.057,-1.396,0.255,-14.526,66.895,116.028
-0.008,-1.491,0.270,-45.349,78.613,120.972
-0.026,-1.339,0.148,-53.101,83.130,122.681
-0.040,-1.220,0.080,-53.833,83.435,115.356
0.005,-1.310,-0.141,15.869,24.414,60.974
-0.074,-1.562,-0.008,-2.625,16.174,66.284
-0.094,-1.512,-0.102,-7.080,13.000,67.810
-0.115,-1.596,-0.147,48.828,-23.193,41.870
-0.214,-1.924,0.027,106.384,-60.486,10.071
-0.370,-2.181,0.255,122.437,-88.745,-23.621
-0.604,-2.241,0.499,81.543,-95.459,-59.326
-0.656,-2.196,0.589,56.824,-84.473,-106.079
-0.565,-2.508,0.595,113.098,-79.407,-175.415
-0.431,-2.838,0.638,130.859,-104.736,-205.688
-0.345,-2.793,0.842,109.558,-128.174,-242.065
-0.222,-2.660,1.051,93.811,-134.094,-291.931
0.086,-2.754,1.133,89.111,-136.902,-346.985
0.210,-2.779,1.127,89.539,-143.921,-355.225
0.425,-2.739,1.186,81.299,-164.124,-362.671
0.613,-2.543,1.278,71.472,-180.298,-369.934
0.920,-2.284,1.177,73.120,-191.956,-378.845
1.173,-2.259,1.047,55.298,-214.539,-366.882
1.292,-1.985,0.922,28.442,-225.098,-334.106
1.385,-1.339,0.808,21.179,-223.389,-307.556
1.520,-0.745,0.681,34.180,-212.524,-294.434
1.573,-0.700,0.392,38.696,-210.510,-265.625
1.583,-0.857,-0.182,15.015,-228.821,-201.538
1.594,-0.546,-0.280,15.686,-242.676,-136.414
1.520,-0.233,-0.202,37.292,-172.791,-126.099
1.350,-0.038,-0.230,21.790,-124.878,-138.123
1.207,-0.217,-0.473,-61.584,25.635,-134.216
1.124,-0.507,-0.798,-118.469,84.900,-83.557
1.086,-0.431,-1.299,-164.795,89.416,-35.583
0.877,-0.160,-1.521,-161.804,57.800,-8.545
0.645,-0.104,-1.448,-128.967,39.368,4.822
0.489,-0.258,-1.468,-62.805,30.334,23.682
0.357,-0.470,-1.199,3.235,18.372,47.302
0.271,-0.592,-1.054,2.808,18.372,50.171
0.205,-0.637,-1.035,2.991,20.447,56.580
