acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.716,-0.373,0.906,-81.726,-19.226,-38.025
-1.035,-0.302,0.587,-175.232,-46.875,-20.874
-1.266,-0.307,0.430,-166.565,-51.270,-23.499
-1.330,-0.418,0.346,-161.499,-54.749,-24.719
-1.340,-0.359,0.371,-187.683,-48.889,-47.424
-1.466,-0.551,0.342,-185.547,-31.799,-70.312
-1.523,-0.918,0.083,-190.735,-25.085,-69.580
-1.393,-0.966,-0.059,-196.045,-28.564,-62.439
-1.108,-0.827,-0.167,-186.279,-53.528,-44.434
-0.813,-0.784,-0.264,-144.592,-76.782,-30.151
-0.457,-1.071,-0.386,-30.640,-1.648,125.366
-0.336,-1.006,-0.651,-76.355,53.955,157.898
-0.199,-0.874,-0.927,-90.637,67.139,159.607
-0.233,-0.708,-1.028,-68.726,92.041,147.278
-0.222,-0.743,-0.980,-4.578,102.051,138.611
-0.172,-0.847,-0.919,25.330,114.014,138.916
-0.298,-1.075,-0.905,43.274,130.676,156.616
-0.560,-1.036,-1.068,109.436,143.616,186.645
-0.894,-0.596,-0.590,243.774,154.785,196.777
-0.741,-1.342,1.773,464.966,326.355,115.479
-0.627,-2.927,3.024,441.650,401.550,177.795
-0.279,-3.117,2.766,382.263,399.353,222.290
0.033,-1.723,2.081,203.186,268.921,154.663
-0.188,-1.378,2.154,173.462,209.595,10.315
-0.414,-1.293,2.062,94.360,221.741,-98.328
-0.400,-1.039,1.511,-14.526,242.187,-182.800
-0.231,-1.013,0.983,-131.531,230.835,-234.680
-0.140,-1.148,0.355,-204.834,154.480,-218.201
-0.266,-1.219,0.081,-181.946,122.498,-188.538
-0.274,-1.166,0.022,-58.289,29.480,-69.824
