acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-1.000,-0.425,0.542,-58.289,95.764,-68.481
-1.149,-0.521,0.215,5.371,120.850,-27.100
-1.170,-0.423,0.158,-22.278,136.169,-25.024
-1.170,-0.444,-0.034,-15.198,125.977,-29.053
-1.214,-0.542,-0.141,43.396,97.412,-19.958
-1.184,-0.464,0.179,37.659,68.176,-14.954
-1.202,-0.397,0.132,6.592,65.125,-15.869
-1.148,-0.368,0.183,-47.302,-3.723,-38.574
-1.222,-0.203,0.021,-69.458,-20.447,-17.212
-1.331,-0.065,-0.172,-57.190,-47.852,4.456
-1.471,-0.230,-0.399,-34.058,-85.022,47.913
-1.645,-0.059,-0.674,-40.894,-123.230,90.210
-2.025,0.339,-1.194,-92.896,-158.813,84.229
-2.296,0.657,-1.707,-126.282,-172.913,43.762
-2.454,0.534,-2.160,-121.948,-183.105,18.066
-2.579,0.269,-2.141,-73.669,-206.665,-12.878
-2.418,0.902,-1.509,-24.658,-198.303,-31.372
-1.771,1.281,-0.558,48.340,-63.965,-167.969
-0.611,0.116,1.219,277.039,62.805,-209.412
0.612,-2.779,3.932,432.739,186.401,-81.726
1.495,-3.097,4.000,142.212,259.949,62.256
1.795,-0.976,3.894,-54.871,166.077,3.174
1.228,-0.570,3.330,-85.876,5.005,-115.356
0.527,-0.978,2.605,-145.935,-23.499,-135.376
-0.196,-0.910,0.789,-169.495,41.504,-67.261
-0.941,-0.305,-0.600,20.874,1.709,88.501
-1.146,-0.290,0.572,41.016,-28.442,113.464
-1.181,-0.119,0.732,33.020,12.390,95.886
-1.123,0.055,0.470,61.890,27.527,61.523
