acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-1.036,-0.645,-0.283,-49.744,88.257,18.494
-1.082,-0.591,-0.216,-45.959,95.276,42.236
-1.156,-0.737,-0.256,-76.172,109.558,51.025
-1.266,-0.781,-0.413,-103.882,112.915,64.087
-1.232,-0.699,-0.412,-111.816,106.506,64.392
-1.156,-0.769,-0.396,-115.906,94.910,51.147
-1.124,-0.956,-0.479,-110.229,70.740,46.021
-1.141,-1.041,-0.539,-96.863,38.086,54.077
-1.090,-0.948,-0.612,-78.613,7.019,53.101
-1.056,-0.979,-0.639,-43.579,-21.423,43.396
-1.116,-1.094,-0.581,0.977,-42.358,44.067
-1.128,-1.105,-0.519,34.485,-53.589,48.279
-1.105,-0.970,-0.494,57.922,-58.777,43.152
-1.113,-0.772,-0.482,65.430,-59.937,31.189
-1.213,-0.540,-0.570,46.753,-57.983,12.207
-1.325,-0.370,-0.650,58.777,-64.880,-2.930
-1.380,-0.306,-0.710,78.064,-83.557,-15.381
-1.520,-0.391,-0.783,61.646,-108.521,-13.123
-1.571,-0.641,-1.170,28.442,-162.415,15.686
-1.500,-0.585,-1.305,59.326,-184.631,22.827
-1.058,-0.198,-0.656,224.060,-209.045,19.043
-0.654,-0.508,0.891,487.610,-77.332,-3.723
-0.312,-1.393,2.388,414.124,137.695,41.321
0.057,-2.653,3.117,189.697,358.826,147.705
0.199,-2.838,2.667,-76.660,482.788,239.014
0.846,-1.767,0.999,-105.164,423.157,221.374
1.283,-1.889,-0.140,44.556,195.129,164.185
0.863,-2.184,0.172,173.401,-33.569,158.569
0.298,-1.454,0.846,205.688,-128.784,147.949
0.031,-0.458,1.270,153.809,-92.712,75.317
-0.191,-0.637,0.979,32.349,3.479,-9.583
-0.316,-1.239,-0.504,-90.698,46.021,-31.250
-0.297,-1.033,-0.583,-0.061,-11.597,-0.977
