acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.903,-0.552,0.578,-90.393,73.242,-66.650
-0.925,-0.689,0.391,-83.130,72.266,-60.547
-0.927,-0.749,0.196,-67.871,47.913,-38.086
-0.959,-0.657,0.261,-62.866,24.902,-20.630
-1.018,-0.541,0.406,-75.317,28.259,-19.592
-1.020,-0.532,0.236,-68.970,52.124,-27.954
-0.971,-0.617,0.010,-79.346,56.763,-21.484
-0.931,-0.699,-0.414,-66.467,20.752,-27.893
-1.034,-0.946,-0.327,-62.378,1.953,2.441
-1.153,-0.827,-0.448,-47.180,-18.738,30.396
-1.245,-0.577,-0.599,-10.681,-53.162,30.029
-1.359,-0.475,-0.514,19.958,-79.407,14.832
-1.465,-0.536,-0.365,32.410,-85.144,9.460
-1.586,-0.492,-0.409,36.438,-91.858,12.146
-1.844,-0.164,-0.749,2.075,-103.027,4.089
-2.278,0.118,-1.350,-22.461,-120.483,-18.616
-2.641,0.086,-1.861,40.161,-145.020,-29.419
-2.710,-0.114,-1.864,197.693,-162.964,-16.724
-2.124,0.032,-0.925,284.912,-135.925,-11.841
-0.345,0.231,1.655,169.861,53.833,-85.632
0.890,-1.260,3.618,103.699,236.999,-97.351
1.171,-2.460,4.000,122.009,312.439,-52.673
1.301,-2.787,2.905,137.939,230.225,177.063
1.112,-1.606,1.164,86.609,93.018,200.073
0.377,-1.237,1.483,10.132,-208.130,165.771
0.082,-0.674,1.905,34.546,-152.588,127.136
-0.011,-0.299,1.470,29.907,-28.809,59.998
