acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.420,-1.089,-0.002,-77.637,-39.734,13.367
-0.451,-1.153,-0.154,-98.511,-39.185,27.649
-0.450,-1.116,-0.254,-104.675,-45.898,58.960
-0.537,-1.228,-0.369,-98.206,-50.659,69.885
-0.522,-1.082,-0.354,-78.369,-56.396,71.716
-0.493,-1.021,-0.279,-52.368,-58.655,58.167
-0.485,-1.017,-0.253,-44.189,-59.448,39.185
-0.419,-1.052,-0.328,-57.983,-62.500,23.437
-0.317,-1.089,-0.443,-75.317,-69.702,14.893
-0.263,-1.212,-0.570,-63.110,-80.811,18.921
-0.288,-1.384,-0.683,-42.480,-93.445,36.072
-0.290,-1.227,-0.811,-3.601,-99.060,47.363
-0.286,-1.292,-0.927,26.917,-92.529,46.631
-0.305,-1.393,-1.063,53.284,-82.214,55.420
-0.353,-1.429,-1.290,68.970,-77.332,63.721
-0.378,-1.216,-1.426,141.357,-66.589,84.839
-0.373,-0.944,-1.323,201.050,-47.302,77.942
0.187,-0.954,1.369,237.793,339.539,-32.349
0.507,-1.644,2.415,185.730,491.455,18.188
0.706,-2.198,2.849,188.782,541.504,72.571
1.225,-2.200,1.947,238.770,479.919,263.794
1.624,-2.272,0.818,199.951,254.700,317.322
1.100,-1.898,0.510,146.362,122.803,312.683
0.309,-0.973,0.707,47.913,-134.888,194.214
-0.138,-0.429,1.291,-9.644,-25.879,-73.853
-0.113,-1.071,0.853,-82.458,95.093,-128.967
0.057,-1.239,-0.077,-143.677,152.466,-134.338
0.125,-1.123,-0.561,-133.240,136.047,-120.361
0.154,-0.968,-0.644,-64.087,34.424,-101.257
