acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.145,-1.306,0.137,-38.635,124.634,144.775
-0.159,-1.365,0.141,-67.993,126.465,174.927
0.102,-1.324,0.198,-27.161,131.836,157.471
0.075,-1.403,0.197,-26.123,128.784,172.974
0.069,-1.367,0.194,-32.471,121.704,197.937
0.000,-1.270,0.097,-55.420,106.995,191.589
-0.008,-1.201,0.045,-50.964,99.304,160.400
-0.058,-1.322,0.026,-12.573,96.313,138.611
-0.119,-1.500,-0.057,25.085,87.097,138.428
-0.236,-1.752,-0.154,23.193,69.702,152.405
-0.419,-1.807,-0.211,-17.700,49.927,147.949
-0.516,-1.685,-0.344,15.015,40.039,113.708
-0.601,-1.816,-0.500,50.415,27.649,88.318
-0.786,-2.170,-0.493,96.619,-16.235,7.263
-0.829,-2.448,-0.604,136.719,-31.311,-34.851
-0.728,-2.714,-0.847,326.294,-67.932,-74.158
-0.778,-3.624,-0.542,447.205,-101.562,-107.849
-0.900,-3.820,0.284,413.330,-69.702,-156.433
-0.724,-3.273,0.652,380.127,19.348,-257.324
-0.101,-3.109,0.404,378.845,88.013,-380.554
1.059,-2.807,-0.167,360.290,76.355,-463.928
2.067,-2.376,0.137,376.953,-74.768,-461.792
2.725,-1.703,0.623,350.830,-158.264,-408.813
2.490,-0.800,0.980,269.592,-176.086,-358.398
2.271,-0.391,1.164,244.995,-156.372,-320.129
2.291,0.169,0.872,132.751,-74.280,-210.022
2.179,0.368,0.439,72.266,-60.791,-142.822
1.814,0.429,0.023,80.872,-93.506,-66.162
1.414,0.501,-0.174,42.297,-140.747,-13.123
1.063,0.706,0.029,-98.938,-91.797,-24.231
0.904,0.300,-0.855,-91.492,29.541,-33.752
0.824,0.149,-1.083,-77.393,18.494,-21.606
0.721,0.259,-0.964,-79.102,11.536,-26.855
0.633,-0.497,-0.913,-117.004,98.022,-24.170
0.620,-0.528,-0.994,-146.057,86.548,-10.254
0.587,-0.408,-1.025,-141.541,77.820,-5.371
