acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.118,-1.222,0.266,-38.818,202.270,173.767
0.210,-1.271,0.186,-32.043,194.397,172.180
0.310,-1.317,0.173,-13.855,175.720,167.664
0.284,-1.448,0.307,-9.338,161.499,166.870
0.154,-1.646,0.496,-29.358,162.354,176.636
0.138,-1.514,0.376,-57.190,172.546,187.805
0.170,-1.339,0.227,-46.509,161.499,163.452
0.175,-1.310,0.188,-35.522,150.696,148.071
0.113,-1.396,0.261,-14.282,125.366,118.896
-0.018,-1.474,0.347,-30.151,126.892,124.451
-0.164,-1.370,0.388,-74.524,141.846,129.700
-0.322,-1.264,0.363,-126.587,165.955,117.371
-0.443,-1.215,0.217,-154.175,186.645,90.942
-0.494,-1.189,0.032,-125.793,182.983,62.500
-0.554,-1.358,-0.030,-72.876,153.137,45.410
-0.709,-1.617,0.078,-55.237,116.455,36.438
-0.920,-1.571,0.152,-49.194,84.106,13.184
-0.970,-1.722,0.335,28.809,41.565,-33.142
-1.034,-2.081,0.525,100.708,2.197,-75.623
-0.953,-2.727,1.182,81.543,-3.967,-108.459
-0.565,-2.675,1.241,145.691,-0.732,-214.905
-0.326,-3.040,1.392,211.121,-34.180,-293.518
-0.063,-3.337,1.312,177.612,-98.145,-366.272
0.366,-3.182,0.856,188.599,-202.881,-452.515
0.427,-3.307,0.857,280.212,-308.655,-527.100
0.798,-3.531,0.565,322.266,-398.804,-585.266
1.417,-3.159,0.290,288.269,-485.168,-645.752
2.114,-2.612,0.531,299.622,-510.803,-668.213
2.658,-2.285,1.286,281.799,-356.445,-518.433
3.123,-1.223,1.185,211.243,-278.259,-430.664
3.193,-0.006,0.692,26.978,-85.815,-265.259
2.590,0.503,0.149,21.484,-20.081,-195.374
2.028,0.421,-0.299,20.630,-24.109,-109.375
1.608,0.408,-0.433,-22.766,-58.899,-40.222
1.280,0.368,-0.485,-63.477,-73.669,-7.446
1.164,0.259,-0.739,-76.172,-63.477,-5.127
0.944,0.052,-1.072,-16.846,-44.189,-6.531
0.557,-0.321,-1.033,-120.789,132.202,-17.456
0.549,-0.344,-1.052,-114.624,128.296,-5.493
0.502,-0.469,-0.998,-115.540,118.347,4.700
