acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.224,-1.187,-0.046,-48.096,186.157,162.048
-0.307,-1.186,-0.291,-21.790,150.940,197.815
-0.550,-1.051,-0.293,-11.780,113.708,212.708
-1.158,-1.167,-0.276,-3.845,94.360,122.559
-1.378,-1.578,-0.358,-4.761,99.976,123.352
-1.557,-1.511,-0.527,-22.278,107.666,139.221
-1.627,-1.235,-0.581,2.441,98.633,91.492
-1.607,-1.234,-0.468,46.265,87.341,16.418
-1.524,-1.331,-0.263,77.515,76.111,-40.100
-1.382,-1.509,-0.001,66.284,52.368,-73.303
-1.281,-1.629,0.021,70.801,20.996,-80.688
-1.138,-1.734,-0.057,93.689,-1.709,-90.637
-1.001,-2.089,0.009,151.672,-80.139,-167.419
-0.869,-2.468,0.398,151.367,-91.553,-225.403
-0.700,-2.665,0.631,143.433,-66.833,-263.916
-0.449,-2.787,0.681,113.831,-44.983,-293.457
-0.067,-3.173,0.671,69.946,-47.241,-302.429
0.349,-3.312,0.724,35.461,-78.613,-296.021
0.703,-2.980,0.848,10.132,-122.620,-323.730
0.970,-2.569,0.826,-9.399,-167.725,-399.780
1.764,-2.644,0.663,-18.860,-201.843,-484.863
2.287,-2.681,-0.214,-67.993,-246.887,-474.731
2.438,-1.275,-1.251,-114.014,-349.243,-369.263
2.205,-1.018,-0.789,-36.194,-404.480,-282.227
2.111,-0.875,-0.047,66.589,-287.598,-199.829
1.749,-0.503,-0.026,-6.592,-72.388,-136.108
1.431,-0.207,-0.745,-189.148,142.517,-72.327
1.262,-0.109,-1.479,-163.147,136.719,-38.147
1.164,-0.153,-1.783,-63.843,53.589,-7.996
0.957,-0.393,-1.722,19.409,-40.222,12.329
0.644,-0.576,-1.454,43.701,-91.553,27.222
0.446,-0.545,-1.144,31.250,-84.045,31.555
