acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.188,-1.201,-0.023,-33.813,174.499,160.583
0.181,-1.475,-0.022,-44.312,176.636,173.584
0.128,-1.441,0.040,-35.583,173.889,199.524
0.080,-1.242,0.190,-38.879,175.720,202.637
0.035,-1.228,0.305,-67.261,192.993,181.274
-0.043,-1.365,0.292,-88.684,217.346,168.701
-0.149,-1.266,0.261,-69.824,231.262,168.701
-0.371,-1.373,0.055,-72.632,209.839,170.837
-0.554,-1.605,-0.116,-93.811,195.801,173.035
-0.785,-1.553,-0.233,-86.670,155.945,180.481
-0.969,-1.426,-0.392,0.061,112.488,154.419
-1.097,-1.503,-0.344,51.453,60.181,94.299
-1.269,-1.983,-0.277,72.083,23.315,37.720
-1.275,-2.077,-0.282,130.127,-7.812,4.578
-1.203,-2.425,-0.049,179.871,-34.424,-24.109
-1.082,-2.559,0.221,172.913,-32.410,-89.539
-0.878,-2.621,0.400,183.411,-13.855,-144.409
-0.619,-2.696,0.512,209.229,-8.667,-193.115
-0.268,-2.563,0.955,192.627,-20.691,-228.577
0.011,-2.337,1.245,148.071,-50.293,-266.235
0.276,-2.376,1.470,149.841,-65.918,-274.170
0.501,-2.294,1.711,162.292,-139.038,-295.288
0.704,-2.091,1.898,130.676,-196.350,-343.811
1.010,-2.146,2.062,66.650,-233.887,-414.734
1.340,-2.256,1.822,-36.987,-245.300,-478.882
2.001,-2.101,1.215,-90.271,-258.484,-504.272
2.669,-2.243,0.231,-144.531,-296.021,-510.925
2.682,-2.306,-1.061,-148.132,-362.183,-415.039
2.276,-1.451,-1.276,15.015,-386.414,-271.057
2.118,-0.830,-0.530,126.709,-283.447,-202.515
1.888,-0.760,0.044,21.423,-99.609,-184.143
1.655,-0.726,-0.290,-151.550,50.903,-155.701
1.456,-0.592,-1.470,-224.731,101.807,-111.877
1.263,-0.417,-1.893,-145.203,56.580,-63.049
0.957,-0.443,-1.779,29.053,-85.327,-22.583
0.592,-0.488,-1.207,49.744,-117.554,-18.188
0.352,-0.787,-0.854,-91.553,83.130,-4.517
0.365,-0.735,-0.939,-86.548,87.646,19.531
0.373,-0.666,-1.002,-55.969,65.796,32.654
