acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.130,-1.214,0.016,-18.982,168.030,145.508
-0.169,-1.243,0.001,-25.085,165.405,156.311
-0.407,-1.157,-0.015,-5.798,158.325,161.377
-0.475,-1.281,-0.039,8.911,149.292,160.583
-0.583,-1.362,-0.049,15.503,137.207,162.659
-0.657,-1.313,-0.095,14.404,126.221,157.227
-0.744,-1.247,-0.081,18.860,120.483,143.494
-0.874,-1.272,-0.047,14.343,122.437,125.549
-0.974,-1.361,0.035,-19.897,130.920,103.516
-1.232,-1.622,0.032,-72.266,147.156,93.079
-1.223,-1.395,-0.059,-26.611,140.991,81.543
-1.178,-1.473,0.005,14.160,127.319,62.317
-1.181,-1.634,0.227,51.758,84.717,-9.583
-1.080,-1.765,0.387,36.621,62.378,-59.021
-0.966,-1.798,0.519,57.434,39.856,-95.764
-0.869,-1.799,0.624,126.221,12.146,-122.742
-0.763,-2.087,0.826,155.457,-11.414,-137.817
-0.602,-2.289,0.953,125.061,-30.945,-144.775
-0.391,-2.253,1.026,82.520,-59.570,-160.706
-0.220,-2.079,1.137,39.978,-90.393,-205.994
0.059,-1.822,1.140,20.264,-121.826,-288.025
0.351,-1.907,0.957,26.306,-166.016,-372.925
0.887,-2.253,0.703,18.982,-219.849,-422.974
1.019,-2.343,0.620,-9.399,-272.278,-437.561
1.400,-2.509,0.314,-54.810,-322.205,-421.631
1.909,-1.968,0.009,-78.003,-382.812,-401.062
2.149,-1.632,-0.417,-38.940,-408.325,-414.856
2.153,-1.408,-0.356,71.899,-380.066,-380.127
2.237,-1.012,-0.498,126.648,-308.777,-316.711
1.908,-0.673,-0.634,110.535,-273.376,-283.447
1.521,-0.943,-0.488,-30.334,-157.715,-119.934
1.271,-0.755,-0.531,-145.996,-70.679,1.099
1.019,-0.318,-0.787,-221.619,1.343,48.767
0.833,-0.154,-1.228,-233.215,37.048,35.522
0.708,0.019,-1.720,-57.495,-6.775,-21.240
0.598,-0.255,-1.569,55.237,-55.969,-43.945
0.487,-0.490,-1.187,78.125,-69.702,-45.593
0.388,-0.734,-0.893,-22.522,-19.226,-10.071
0.404,-0.687,-1.024,-39.917,-6.042,-2.014
0.312,-0.714,-1.018,-44.983,19.043,10.803
0.215,-0.806,-0.899,-46.936,63.904,-6.836
