acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.314,-1.192,0.121,-12.634,204.163,179.016
-0.428,-1.148,0.062,-2.869,196.411,210.510
-0.510,-1.322,-0.068,58.228,144.470,212.891
-0.590,-1.388,-0.031,88.318,123.413,244.324
-0.596,-1.231,-0.006,104.797,107.361,256.226
-0.604,-1.182,-0.086,89.050,89.661,237.427
-0.549,-1.429,-0.223,52.856,66.406,196.777
-0.571,-1.511,-0.241,45.105,33.020,150.452
-0.525,-1.477,-0.238,62.561,23.743,138.123
-0.542,-1.561,-0.234,117.859,-4.028,102.295
-0.627,-1.657,-0.118,107.361,-16.113,72.998
-0.648,-1.689,-0.013,57.983,-6.592,31.921
-0.629,-1.758,-0.069,42.603,9.949,-2.258
-0.544,-1.860,-0.274,82.458,2.991,-14.648
-0.516,-1.775,-0.262,141.174,-22.644,-29.419
-0.578,-1.843,0.146,162.964,-31.555,-64.148
-0.592,-1.947,0.297,154.053,-18.555,-104.065
-0.654,-1.963,0.364,128.662,3.235,-146.057
-0.543,-1.836,0.429,96.558,11.780,-184.753
-0.183,-1.919,0.433,81.665,13.611,-210.144
0.235,-2.130,0.401,96.313,-14.771,-277.527
0.556,-2.436,0.354,93.689,-72.266,-306.274
0.744,-2.433,0.270,34.363,-158.447,-340.149
0.945,-2.243,0.094,-24.841,-259.705,-387.634
1.351,-1.880,-0.228,-15.137,-347.656,-440.918
1.717,-1.834,-0.578,24.048,-409.302,-520.447
1.694,-1.423,-0.260,45.288,-371.460,-530.640
1.783,-1.206,0.129,72.998,-253.052,-489.746
2.028,-1.383,-0.118,18.555,-131.470,-398.193
1.925,-1.310,-0.685,-110.840,-41.504,-212.708
1.597,-0.596,-0.859,-98.450,-18.616,-125.183
1.224,-0.020,-0.887,-70.557,-14.526,-109.436
