acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.701,0.270,-0.895,-44.434,-47.974,44.434
-0.674,0.238,-1.289,-37.964,-98.877,62.622
-0.721,0.296,-1.578,-43.823,-157.776,83.679
-0.711,1.020,-2.446,62.561,-252.136,81.055
-0.781,1.004,-1.335,305.542,-207.581,52.063
-1.598,-1.301,1.603,396.240,57.068,154.541
-3.265,-3.541,3.700,116.211,388.489,419.495
-3.129,-2.038,2.767,-120.544,434.875,465.149
-1.332,-0.502,0.938,72.754,-550.842,-445.068
-1.576,-1.212,1.402,35.645,-327.332,-250.793
-0.805,-1.164,1.142,-24.109,-9.583,47.546
-1.163,-0.155,-0.190,71.045,-14.893,-54.993
-1.118,0.049,-0.286,85.266,-13.245,-20.752
-0.962,0.274,-0.673,51.819,-16.602,-6.348
-0.717,0.495,-1.258,22.827,-77.393,-17.700
-0.386,0.631,-1.898,-19.043,-153.564,-37.720
-0.197,0.821,-2.366,-0.549,-227.112,-51.331
-0.234,0.787,-1.361,133.911,-185.181,-37.048
-1.064,-0.645,1.426,218.384,174.255,90.027
-2.516,-1.374,2.735,-1.282,718.872,267.883
-3.989,-1.628,2.112,-206.970,1007.141,285.767
1.220,-0.162,-1.681,23.437,662.781,59.998
0.075,-1.419,-1.819,29.602,-494.751,-243.591
-1.443,-0.656,0.525,100.281,-692.200,-160.645
-1.724,-0.578,1.371,203.064,-494.263,-61.401
-1.233,-0.654,1.366,84.717,-162.109,60.059
-0.987,0.201,0.592,37.109,98.877,92.957
-1.062,0.146,-0.543,5.493,10.132,-143.188
-1.129,-0.168,-0.378,38.574,-191.162,82.153
-1.154,0.294,-0.461,61.462,-194.031,101.868
-1.010,0.526,-0.538,112.732,-184.692,90.393
-1.055,0.116,-0.954,106.873,-168.396,88.013
-0.768,0.622,-0.763,-58.533,-55.359,83.862
-0.394,0.985,-0.647,-116.516,134.766,19.714
-0.740,0.761,-1.057,-7.568,312.195,-40.222
-1.236,0.520,-0.379,264.709,407.471,-32.349
-1.568,-1.111,1.921,322.205,422.607,96.191
-1.178,0.269,0.751,-91.370,264.893,255.249
-0.875,1.600,0.503,-57.068,-78.430,143.250
-1.229,0.511,1.298,62.500,-364.136,-161.926
-1.219,0.054,1.473,8.667,-245.544,-191.772
-0.923,-0.521,0.901,-23.926,-78.003,-128.662
-0.750,-0.303,-0.887,-26.245,-13.550,7.080
-0.849,-0.255,-0.892,-23.987,-41.321,11.230
-1.044,-0.233,-0.497,-17.212,-85.144,20.203
