acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.910,-0.390,0.867,59.082,-30.640,24.353
-1.121,-0.416,1.134,49.255,-47.302,9.888
-1.276,-0.523,1.311,70.068,-48.767,4.028
-1.232,-0.591,1.370,57.556,-39.856,2.258
-1.119,-0.582,1.304,-1.831,-29.907,-1.160
-1.155,-0.587,1.274,-48.035,-28.137,1.221
-1.187,-0.605,1.113,-30.273,-36.560,22.217
-0.926,-0.423,0.984,-5.188,-60.852,46.570
-0.840,-0.261,0.923,-23.804,-65.186,30.823
-0.889,-0.201,0.880,-22.400,-57.007,9.705
-0.847,-0.196,0.784,-25.635,-42.419,-2.502
-0.577,-0.193,-1.046,97.168,-178.467,-21.606
-0.489,-0.231,-1.807,81.360,-188.965,-21.118
-0.175,-0.000,-3.270,28.198,-190.002,-75.623
-0.298,0.108,-2.939,68.909,-156.250,-112.000
-0.332,-0.036,-1.799,359.009,118.225,-203.735
-0.907,-2.174,3.164,333.496,618.591,-57.556
-1.157,-3.136,4.000,175.293,600.830,211.487
0.575,-0.607,1.911,166.992,59.509,188.232
-0.882,0.225,3.380,120.605,-215.393,59.143
-1.351,0.034,3.511,-151.001,-118.103,-205.383
-0.825,-0.138,1.102,-194.275,154.663,-199.341
-1.125,0.415,0.490,26.123,-46.936,22.095
-1.107,0.404,0.580,28.809,-10.925,-11.658
-1.131,-0.176,0.407,11.414,-56.824,29.358
-1.370,0.040,0.505,45.654,-103.149,35.095
-1.721,-0.109,0.958,83.008,-127.197,44.739
-1.888,-0.506,1.224,42.480,-124.634,93.811
-1.795,-0.284,0.915,-31.738,-117.798,145.996
-1.650,0.129,0.486,-12.329,-125.549,158.325
-1.498,0.017,0.383,37.537,-137.207,161.804
-1.304,-0.201,0.498,20.935,-129.944,177.673
-0.703,0.241,-0.980,-125.916,32.104,-1.465
-1.131,0.197,-1.820,-138.306,9.949,6.592
-1.108,0.849,-2.708,-49.377,-136.963,14.343
-0.689,1.566,-2.863,48.035,-205.017,-24.353
-0.416,0.953,-1.492,316.772,-301.086,-233.643
0.046,-1.195,1.051,210.022,-145.020,-272.034
-1.350,-2.484,3.678,106.934,162.903,-105.103
-2.206,-1.661,4.000,189.209,403.259,45.654
-0.527,-1.029,2.730,-148.010,265.869,-19.714
-1.006,-0.492,0.379,-226.013,-105.957,-74.707
-1.693,-0.957,0.118,-134.766,-78.064,-1.404
-1.629,-0.667,-0.104,14.771,104.858,225.647
-1.247,0.081,-0.255,21.179,128.174,243.347
