acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-1.149,-0.194,0.414,26.428,-76.172,11.719
-1.283,-0.066,0.137,-20.630,-39.490,44.373
-1.664,-0.254,0.699,-15.076,-14.954,67.261
-1.615,-0.157,1.223,156.067,26.428,80.017
-1.413,-0.269,0.660,165.710,24.231,72.266
-1.331,0.210,0.072,9.277,-19.958,44.556
-1.321,0.420,0.265,-70.129,-84.534,12.024
-1.465,0.293,0.296,17.090,-133.972,-16.663
-1.461,0.136,0.344,23.437,-158.203,-17.029
-1.364,0.091,0.322,-7.751,-159.912,-2.502
-1.195,0.063,0.168,-51.331,-150.818,29.602
0.465,1.461,-1.126,-48.157,-150.269,-93.567
1.601,2.319,-1.624,-13.245,-84.106,-295.166
1.815,0.735,-0.651,125.793,137.573,-393.127
0.308,-2.718,0.570,226.624,497.314,-103.760
-1.529,-2.448,1.431,298.218,652.222,383.789
-2.003,-0.774,1.960,272.217,335.083,491.211
-3.061,-0.049,2.822,35.828,-258.484,118.103
-3.088,-0.218,3.021,-117.065,-347.046,-200.073
-1.432,0.042,0.372,-249.207,61.523,-299.194
-0.560,-0.441,-1.000,-210.327,116.882,-294.861
-0.416,-0.903,-1.198,-28.687,139.404,-136.902
-0.547,-0.961,-1.029,49.683,115.479,7.446
-0.779,-0.862,-0.697,75.989,72.449,124.084
-1.135,-0.434,-0.521,30.518,25.452,194.580
-1.234,-0.180,-0.623,-17.334,-27.222,199.341
-1.423,0.146,-0.630,-16.052,-77.515,143.250
-1.796,-0.104,-0.266,9.827,-100.464,80.383
-1.929,-0.315,-0.028,16.174,-91.553,44.922
-1.935,-0.366,0.008,-8.423,-64.209,36.865
-1.739,-0.305,-0.137,-47.852,-36.621,40.527
-1.535,-0.233,-0.356,-47.241,-40.161,41.565
-1.310,-0.185,-0.408,-14.465,-84.351,37.842
-1.205,-0.191,-0.301,-27.771,-103.333,37.598
-1.140,-0.143,-0.234,-50.110,-102.417,44.983
