acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.107,0.050,-1.551,-59.265,-72.876,3.357
0.345,0.582,-1.297,-13.367,-36.133,-8.362
0.210,1.096,-0.543,237.671,94.666,-74.585
-2.130,-0.188,2.413,395.508,257.019,-78.796
-3.190,-1.028,3.643,55.237,363.464,72.388
-2.051,1.372,1.448,-236.694,321.838,239.441
-0.066,1.800,-1.081,-136.597,-114.563,132.568
-0.049,1.500,-1.099,-172.241,-275.940,39.062
-0.906,0.933,-0.442,-28.320,-450.867,-175.354
-1.310,0.055,-0.816,74.585,-367.187,-216.309
-1.308,-0.648,-0.687,-78.674,-237.305,-150.269
-1.247,-0.312,-0.253,-193.970,-84.534,-46.570
-1.178,0.263,-0.871,-170.898,45.654,23.560
-1.305,0.450,-0.873,-153.748,116.272,54.199
-1.502,0.353,-0.582,-154.114,126.404,62.012
-1.505,0.138,-0.486,-171.265,103.638,78.430
-1.333,0.156,-0.583,-141.113,42.053,118.774
-1.135,0.196,-0.430,-126.953,18.555,127.930
0.424,1.068,-0.966,-65.491,-97.778,37.048
1.027,1.492,-1.371,-37.537,-109.802,-49.683
1.382,0.952,-0.487,60.852,-89.722,-145.508
-1.518,-1.666,2.001,170.776,88.562,-110.474
-4.000,-3.650,2.439,3.479,466.553,377.136
-3.490,-0.614,2.303,-43.701,432.373,456.970
-0.760,1.090,-0.185,-194.702,113.403,102.783
-0.854,0.885,-0.737,-237.732,-278.992,-266.968
-1.335,0.192,0.264,-149.658,-430.420,-348.999
-1.439,-0.528,0.385,-3.296,-357.239,-265.625
-1.204,-0.780,0.464,23.315,-186.035,-128.479
-1.110,0.124,-0.278,-161.133,132.263,47.668
-1.240,0.182,-0.713,-236.389,175.415,22.705
-1.125,0.255,-0.760,-135.315,113.403,-43.701
