acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.637,0.145,-1.887,-68.298,-120.972,60.486
-0.397,0.711,-2.615,-54.321,-182.739,35.950
-0.061,0.946,-2.313,0.122,-195.923,4.150
-1.687,-1.174,2.453,334.290,251.404,57.190
-3.631,-1.912,4.000,236.084,357.788,186.340
-1.729,0.791,2.421,76.477,199.585,346.924
-0.266,1.525,0.743,-45.593,-302.673,22.827
-1.401,1.374,1.133,-154.419,-486.084,-215.271
-1.687,0.830,1.236,-116.760,-330.017,-254.211
-1.296,0.157,0.873,-78.979,-64.941,-176.453
-1.149,0.153,-0.277,-140.747,226.685,-18.127
-1.079,0.356,-0.619,-179.749,166.382,8.911
-0.990,0.411,-0.680,-137.268,0.183,10.132
-0.404,0.583,-1.070,-158.997,-148.254,10.071
0.788,0.725,-1.438,-156.189,-134.338,-47.913
1.301,0.051,-1.238,-91.431,-78.674,-106.812
0.565,-1.777,0.689,178.406,210.205,38.635
-1.652,-3.658,2.922,217.041,336.975,172.852
-2.906,-2.575,3.507,197.876,388.123,471.863
-0.444,-0.447,1.823,-14.893,-9.705,108.826
-0.843,0.506,1.841,-83.862,-184.753,-155.823
-1.550,-0.353,1.385,-75.684,-139.832,-433.655
-1.654,-0.967,0.818,5.920,38.635,-249.695
-1.411,-0.840,0.272,113.464,181.641,-30.518
-1.371,-0.397,0.029,155.640,232.544,94.421
-1.529,-0.260,0.066,160.645,213.379,127.258
-1.378,-0.009,-0.188,119.751,156.494,86.670
-1.162,0.097,-0.218,89.416,75.867,-0.916
-1.171,-0.018,-0.097,99.609,11.047,-67.749
-1.285,-0.230,0.092,107.666,-15.503,-77.698
-1.339,-0.317,0.250,120.605,-17.273,-42.603
-1.252,-0.230,0.316,130.798,-10.803,10.254
-1.170,-0.110,0.258,118.774,-7.812,46.509
-0.382,0.893,-1.709,-49.622,-88.318,-72.510
-0.217,1.313,-2.159,-39.673,-71.655,-102.844
-0.024,1.142,-2.078,165.588,-4.822,-111.633
-1.093,-1.431,1.752,348.877,220.825,131.165
-2.139,-2.406,3.363,235.596,287.964,259.094
-2.927,-1.381,4.000,110.718,264.221,385.986
-0.316,0.343,1.921,10.620,-278.748,-124.023
-0.750,0.202,1.864,-88.135,-363.831,-286.255
-0.895,-0.367,1.266,-120.850,-191.162,-365.478
-0.928,-0.666,0.516,-105.041,-89.050,-300.537
-1.112,0.218,-0.407,4.883,136.658,73.364
-1.108,0.497,-0.456,18.982,50.049,61.218
-1.060,0.469,-0.381,56.091,-37.598,35.034
-0.191,0.684,-1.487,-84.229,-20.447,-57.312
0.137,0.683,-2.259,-57.556,-32.959,-96.680
0.107,0.212,-2.000,137.085,-13.916,-77.393
-3.339,-1.633,4.000,308.044,216.248,249.573
-3.629,-0.987,3.991,59.998,239.807,397.095
-1.802,0.911,1.583,-80.688,-22.278,224.365
-1.236,0.978,1.014,-168.396,-405.884,-236.267
-1.296,0.282,1.185,-184.692,-392.090,-304.077
-0.959,-0.241,0.749,-186.096,-194.885,-291.626
